ans,ups
['很多人拿特立独行来扣帽子，现在支持乌克兰还算特立独行？是谁在特立独行？\n你骂俄罗斯强奸，有理中客来说：你看美国不也经常强奸吗？\n怎么？美国强奸所以强奸就是对的了吗？再说美国近年很多战争也不算强奸，这都不用去外网，直接百度就能出来。\n海湾战争（英文：Gulf War，阿拉伯文： ，波斯文： ），是美国领导的联盟军队于20世纪90年代，为恢复科威特主权、独立与领土完整并恢复其合法政权而对伊拉克进行的一场战争，是冷战期间的第一场大规模武装冲突。\n这场战争是五大常任理事国罕见的全部投票同意，先不说对错，如果就真算是强奸，所以中鹅在支持强奸吗？\n谁先发动战争，谁先挑唆战争。谁是真的通过战争来达到正义的目标，谁是只是通过理由手段来达到自己利益的目的，国际社会都看的很清楚。\n中国政府官方本来就不站队，跟俄罗斯关系那么好，都不站队为什么？全世界大多数国家反对这场俄罗斯的侵略，反对这场把戏。\n俄罗斯的理由有什么？北约东扩，有威胁？那你怎么不打北约已经东扩了的国家，不打波罗的海三国，如果北约在这三国部署导弹，照样能瞬间打到莫斯科，你要是真为了自己的安危，怎么不打那三个国家，打一个你当年签协议让别人销毁核武器的国家？打一个没加入北约的国家？当年你签订协议的时候可不是这么说的\n根据协议条款，乌克兰同意交出其核弹头，以无核国家的身份加入《核不扩散条约》。作为交换，乌克兰得到《布达佩斯安全保障备忘录》签字国俄罗斯、美国和英国的安全保障。\n在备忘录中，签字国对以下五点做了“重申”：\n▪“尊重乌克兰的独立和主权以及现有边界”；\n▪“避免以武力威胁或使用武力破坏乌克兰的领土完整或政治独立…”；\n▪“避免对乌克兰进行经济胁迫”；\n▪“如果乌克兰成为使用核武器的侵略行为的受害者或（此类）侵略威胁的目标…（签字国）寻求联合国安理会立即采取行动，以向乌克兰提供援助”；\n▪对乌克兰“不使用核武器”。\n如果你还要非要说支持乌克兰，就是单纯特立独行，单纯因为自卑，在生活中过不好，来网上发泄。那我也无话可说了，\n关于俄罗斯与中国唇亡齿寒，支持俄罗斯就是支持中国，因为敌人的敌人就是朋友的说法。\n首先，谁跟你是朋友？俄罗斯三次加入北约是跟你唇亡齿寒？俄罗斯三次加入北约是为了和你成为好朋友？\n俄罗斯一个资本主义国家，我们一个社会主义国家，哪来的唇亡齿寒？\n1969年3月2日，黑龙江省乌苏里江南侧的珍宝岛发生交火。这里是中苏边境，敌人携带重火力武器，这分明是侵略。是可忍，孰不可忍。我边防战士迅速反应，从容反击。一时之间，珍宝岛枪声大作。在冰天雪地的环境中，中国战士节节抗击，采用迂回战术，将敌人包围打退。珍宝岛自古便是中国渔民收获之地，这里却遭到苏联军人十几次的入侵，显然，这不是擦枪走火的意外。面对我方政府的严正警告，莫斯科方面置若罔闻。最终，在中央军委的决定下，中国军民展开英勇自卫。自从3月2日经历作战失败后，苏联人恼羞成怒，继续重兵侵犯。采用偷袭、骚扰的方式，敌人打死打伤我军民6人，毁坏农垦作物二十余亩。1969年3月15日，苏联出动正规军（2个连）对我发起进攻。这一次，敌人出动了重型坦克，又有火炮支援。在0.71平方公里的阵地上，我们坚决死守。一天之内，我军多次行动，牢牢抢占阵地。经过9个多小时的激战，苏军再次被击退。3月17日，苏军出动坦克，步兵循序跟随。敌人满怀信心，我方缺少重火力武器，根本拿坦克没有办法。对此，我方指战员（连长）紧急行动。依托珍宝岛地形，一面有力还击，一面争取时间。不久，在敌人坦克行进路线上，我们预先放置了地雷。只听轰隆一声巨响，敌人两辆坦克沉入湖面（结冻）。苏军妄图拯救，可我们的冲锋号吹响，解放军全员出动，敌人被打回了北方。\n这是哪来的朋友？\n还有一次核威胁是来自于苏联。1969年，苏联边防军多次对我国进行挑衅，还打死打伤我国边防部队6名军人，这让中国发起了反击，让苏联军队损失不小。为了挽回“面子”，苏联扬言要对中国进行“外科手术式”的精准核打击，然而中国面对核威胁毫不退缩，以氢弹的成功试爆作为回敬，最终挫败了苏联的阴谋。\n好朋友，真是好，核威胁也算是好朋友，善意威胁，咱们是恶意反抗是吧？\n再来看看他们祖宗，在东北三省跟日本争抢中国的殖民地\n趁着中国内忧外患趁火打劫，外东北全吞没，库页岛也不留。\n俄罗斯这孩子从小就是中国朋友是吧？\n关于言论：俄罗斯打的不是乌克兰，而是西方国家联盟！支持俄罗斯！国际秩序不应由西方国家主导，应建立国际政治经济新格局。感谢俄罗斯挑战美国和北约建立的霸权体系！吸引西方列强注意力，给中国创造发展空间！\n俄罗斯打的确实有西方国家联盟，但不代表第三世界不算，任何一个拥有主权和领土完整的国家都不能坐视不管。况且俄罗斯丝毫没有正确的理由，跟1938年77卢沟桥事变一样无理取闹。关于克里米亚事件：1、中国没有承认克里米亚并入俄罗斯。乌克兰克里米亚共和国于2014年3月16日举行公民投票，决定继续留在乌克兰，还是加入俄罗斯。3月18日，俄罗斯总统普京和克里米亚议长、总理及塞瓦斯托波尔市市长签署克里米亚入俄条约。3月27日，联合国大会以压倒性多数通过了一项决议草案，认定克里米亚举行的脱离乌克兰加入俄罗斯的全民公投，破坏了国家的领土完整，违反国际法，是一次不合法的投票活动。\n能煽动一个主权国家人民举行公投的大国也是没谁了，但是至今中国的地图克里米亚一直都是乌克兰的固有领土，从没有承认过属于俄罗斯。俄罗斯打赢了你更要担心，西边打赢了，没准就来东边凑凑热闹了，历史上也经常对西北，东北地区垂涟三尺，况且中国被经济制裁，被限制芯片之后，你怎么不保证俄罗斯+美国一起来搞你？打铁还需自身硬，求人不如求己，中国100年前都不需要俄罗斯来为中国提供安全保障，这几百年无数仁人志士的努力奋斗，就是为了能让中国人民自己彻底站起来，不在受欺负，不再需要靠别人。结果现在我们的发展还要靠俄罗斯，可悲不？现在世界经济中心，政治中心还都是美国主导呢，你咋不去舔你美爹呢，不比鹅爹香？你是图俄罗斯的轻工业啊，还是高新技术产业啊？还是芯片啊？\n关于乌克兰是美国买办话题。\n首先你给我定义一下，什么叫买办，什么tm的叫tm的买办？\n做人要讲证据，证据有吗？你是从哪来的战地记者得到的大新闻，还是人云亦云的xfh？照你这么说，中国当年算不算苏联的买办，中国民国算不算美国的买办？欧洲算不算美国的买办？俄罗斯算不算美国的买办？\n凭什么泽连斯基就算是买办？如果一个总统保家卫国，在危难之时，无论外媒怎么说，都能坚持在基辅，与人民共进退。如果这能被黑为“拿人民的命开玩笑”，那我也无话可说。\n如果一个总统，面临国家危亡之时，不坐以待毙，寻求尽可能多的帮助，稳住国家的士气和人心，与大国的侵略做顽强的抵抗。周旋在各国之间寻求生存的利益。如果这都能被黑为“美国的狗罢了”那我也无话可说。\n\n关于乌克兰亚速营纳粹组织的问题。\n亚速营确实是恐怖组织兼极端组织。\n谁是罪魁祸首？苏联解体后，包括“颜色革命”在内的各种冲突和对立，给种族主义、极端民族主义和纳粹主义的死灰复燃创造了条件。2014年至今，这些力量在乌克兰已然发展壮大。2014年2月，乌克兰危机爆发。随后，顿巴斯地区的顿涅茨克和卢甘斯克地区亲俄武装与乌克兰政府军爆发冲突。多年来，尽管冲突双方曾两度签署停火协议，但是顿巴斯地区大小军事冲突仍然不断。\n你俄罗斯不招乌克兰，哪来的条件创造亚速营？你自己一手挑起的亚速营，按你的话来说，你没责任清除吗？\n况且，想一个简单的逻辑，乌克兰出兵，出的可是正规军！有编制的正规军队！有空中火力支援，有坦克导弹大规模武器的正规军队，象征着俄罗斯联邦实力的军队！结果在乌克兰遭到了如此重大的挫折，这是一个简单恐怖组织能拥有的实力？如果真是这样，俄罗斯也实在是太拉夸了吧！\n况且你出兵，不就是土匪跟土匪火并吗？极端组织也得有个对照吧，你俄罗斯那臭军纪跟亚速营比真的不相上下了，布查大屠杀这么快都忘了吗？\n\n\n\n\n布查一直在俄罗斯的控制之下，布查死伤的平民脑袋都破洞了，身体烧焦了，也不算是摆拍了吧，这种残忍程度你叫我怎么定义低端组织和残忍？就像日军说要来村里帮我们杀土匪一样，我宁肯支持帮助土匪把小日本打走！\n第一点，俄乌战争不是大家都可以沉默的战争，\n真是太好了，显示ip才好，更真实，更让别人无话可说。\n作为第一批支持乌克兰的人，我真的是感慨万千啊，说明人民是有自己思考的，是有自己独立的思维的。\n刚开始战争，我连发多篇文章谴责俄罗斯的侵略行径，都会被一堆人追着骂，现在支持公理与正义的人越来越多，我真的很高兴。\n我支持乌克兰，因为我对乌克兰感同身受，但凡是一名中国人都会对乌克兰感同身受。我国屈辱的近代史更是让我们对乌克兰更加同情。\n我支持乌克兰，因为我希望当一个国家主权和领土完整遭受打击的时候，有人能站出来给你援助，站出来支持你。\n我支持乌克兰，因为我不希望让这个世界陷入独裁者的手中，让世界充满黑暗。\n我支持乌克兰，因为我支持遇到别国侵略不是一味的软弱害怕逃跑，而是勇敢还击，勇于亮剑，虽战死沙场而无憾的爱国主义精神，这正符合了社会主义核心价值。\n我觉得《孤勇者》的歌词跟乌克兰特别像\n爱你孤身走暗巷\n爱你不跪的模样\n爱你对峙过绝望\n不肯哭一场\n爱你破烂的衣裳\n却敢赌命运的枪\n爱你和我那么像\n缺口都一样\n去吗 配吗 这褴褛的披风\n战吗 战啊 以最卑微的梦\n致那黑夜中呜咽与怒吼\n你的斑驳与众不同，你的沉默震耳欲聋！'],224
['我支持历史正确的一方，在一场非正义战争中保家卫国的一方，在战争中占据优势地位的一方。支持乌克兰人民反对俄罗斯侵略的斗争，支持乌克兰维护国家统一，反对境外势力策划分裂国土的斗争。\nip地址有什么刺激的，免试武汉211倒是不需要了，现在有没有研究生的优惠政策。'],263
['大男人坦坦荡荡，一不偷鸡二不摸狗的，显示IP又怎么啦？\n假如生活中一个恶霸欺负一个老实人你是看热闹还是以“吓死宝宝了”为由躲起起来？还是为恶霸摇旗呐喊？\n看热闹的是颦货，喊“乌辣”的是坏种。“吓死本宝宝”的是小媳妇儿。\n俄罗斯对乌克兰是侵略，全世界都知道。\n我小老百姓以正常人思维去同情乌克兰有错吗？\n不过不要紧，俄罗斯这次就算是打输了它也是值得欣慰的，毕竟在中国收获了一批自诩“爱国大V”的亲儿子。\n什么“俄罗斯侵略乌克兰是因为……。”\n我想问问这群亲儿子们。你们令堂哪天因为穿的少出去被一个恶霸给非礼了。\n你们是怪恶霸啊非礼啊？还是怪你们令堂穿着打扮啊？'],75
['《欧洲子宫》'],190
['知乎的朋友们大家好，我是一名正在学习普通话的芬兰人。我的芬兰名字是奥特曼·德克士汉堡，中文名字叫史珍香。现在我正在芬兰的首都赫尔辛基，尽管我和大家相隔千里，但我们的心是连在一起的，因为我也支持我们伟大的近邻俄罗斯，以及她的领袖——弗拉基米尔·弗拉基米罗维奇·普京总统。\n今日听闻知乎开启了ip显示，我非常开心。最近普京总统的反纳粹战争正打得如火如荼，西方国家见乌克兰即将战败，便派出大量网军扰乱各国的网络秩序。相信知乎开启了ip显示之后，便能帮助大家看清谁是网军，谁是朋友，帮助普京总统赢得这场战争。\n请大家关注我的个人网站：http://www.bullshit.com，我会在上面分享北欧的风光以及我学习汉语时的趣事。'],169
['俄乌冲突是一个大舞台，陷在“支持谁”这个二极管话术里，那就错过太多东西了。\n看点一\n俄罗斯的真实实力。\n前期搞偷袭失败的俄罗斯在回到常规打法之后，其常规军力到底是个什么水平，这是包括美、日、中、欧、中东、西亚都很好奇的问题。\n在美国走下坡路的时候，如果俄罗斯在显露出疲软，那么夹在欧亚中间的区域大国可就要冒头了。\n看点二\n美国（北约）在不同阶段的军事援助力度，到底能在多大程度上左右战局。\n毕竟按照以往的认知，美对俄在常规作战上有代差优势，而这些优势配合乌克兰军队，能带来多少增益，是个很值得观察的问题。\n对我们而言，以日韩为代理人+北约援助的战争烧到家门口也不是没有可能。\n看点三\n欧洲的站队能力和政策灵活性。\n欧洲是目前和可预见的未来里，俄乌冲突中除了当事双方外亏得最多的地区，而且还没有转变正常方向的意思，还将继续亏下去。\n目前看就俩字——垃圾。从中国的角度来说，背地里骂一句“竖子不足与谋”不算过分。\n看点四\n西方世界的制裁到底还有多少效果，在执行过程中有多大阻力。\n西方世界对俄的制裁，在一定程度上暴露了美欧相当多行业的对外依存软肋，也暴露了哪些人是可以拉拢的、那些行业会对制裁政策阳奉阴违、哪些行业会跟着加码制裁。\n或者说，未来中美摩擦升级后，统战对象的划分标准已经以一定的方式展现在眼前了。\n看点五\n西方世界的“大喇叭狂编假新闻宣传攻势”+“不利于我的只字不提”战术在互联网时代+自媒体时代，还能起到多少作用、会以怎样的方式反噬。\n这之后，很可能催生全球舆论主导权的转移。\n看点六\n美国的经济霸权到底还有多霸，能霸多久。\n在制裁俄罗斯但是卢布通过绑定能源反弹至战前汇率的情况下，接下来就要面临“石油美元还行不行，石油美元不行了该怎么办”的问题。粮食？水资源？通过什么手法实现对这来资源的进一步控制？\n俄罗斯的海外美元欧元资产被编个理由没收的案例在前，全球各国（特指西方世界之外的国家）在欧美的资产迟早被大量悄悄抛售的后果美欧能兜得住吗？\n\n另外，乌克兰这几年的骚操作太多，活该变成棋盘。'],19
['支持乌克兰咋的'],156
['支持俄罗斯，参与乱港行动的乌克兰肯定不是朋友\n\nPS：饱和式话题污染玩的挺溜'],44
['战狼在泰国旅游，韭菜们国内吵架'],191
['当然是支持乌克兰了\n作为一个经历过大屠杀的城市的市民，我没有任何理由支持侵略者，不管这个侵略者跟政府有着怎样的利益关系。\n更何况，这两个月，被戴了无数顶1450的帽子，我居然有点入戏了。很多俄杂让我喊口号，让我说：台独死全家，让我支持梧桐。\n我思考了一下，澳门回归那年，我刚上大学。那一年，记得是冬天，全校师生在广场上庆祝，我们又是唱又是跳，疯了一晚上。然后就该干嘛干嘛。后来发现，去澳门香港得要港澳通行证，只能去旅游7天。不能随便去那里打工。新闻里澳门动不动就给所有市民发钱，我也拿不到一分钱。\n所以，弯弯通不通跟我有关系吗？如果说把弯弯打成一片焦土，那我是不愿意的。因为小时候很多美好的回忆跟弯弯有关系。邓丽君、刘文正、费玉清、凤飞飞、齐秦、罗大佑、周华健、李宗盛等等好多歌手是我青春的回忆，还有上大学后的周杰伦，王力宏，他们给我带来音乐的滋养。虽然小时候听着我爱北京天安门，但是这个歌本身并没有给我音乐上的感动。\n琼瑶是我的爱情启蒙人，现在无论多少人批判她，依然不能改变。\n还有香港的四大天王、粤语音乐、武侠电影、黑帮电影、三级片。\n还有TVB，《流氓大亨》《射雕英雄传》《大时代》……\n所以，我为什么要支持梧桐，它回来我一点好处也没有，它不回来我一点坏处也没有。\n另外，我支持每个热爱生活的人都能在自己的土地上安居乐业。\n看看我的房产证和土地证，估计到期的时候我已经死了很多年了，我也算是有自己的土地。'],53
['先说立场：站在国家方面需要保持中立，个人偏俄罗斯，虽然俄罗斯没有一小时灭亡乌克兰（这是玩笑话）如果俄罗斯成为沙皇俄国进攻非洲小国，也反对\n排除境外势力（现在已经少了一些，显示ip了），说说国内支持乌克兰的有三种\n第一就是反对战争（细分：反美和不反美），认为普京不宣而战，打的拉胯，将中国拖入泥潭，认为战争可以避免，乌克兰保家卫国\n第二反对普京和乌拉（也有反美和不反美）认为国内支持俄罗斯的人太烦，单纯觉得普京就是俄罗斯丁真，认为乌克兰保家卫国\n第三公知和大V（亲美和不亲美）亲美公知不仅亲美，还会发表一些俄罗斯的黑料，影响力比较大，认为乌克兰保家卫国\n不管支持哪种立场，首先不黑自己的国家就好，如今俄乌冲突已经三个月，双方你来我往，互怼了三个月\n说支持乌克兰全部都是1450也是统称，并不一定准确，也有不是国外势力，当然立场问题不是男女对立问题，大家各执一词或许都有自己的理解，个人不可能像国家一样保持中立\n支持乌克兰只要不来我评论区，我基本不会去说什么，立场不同，求同存异，一致反美即可\n战争是美国一手策划的，不仅扰乱了欧洲，也扰乱了我们的舆论场，让大家忙着互怼，忘记把重心放在美国了\n支持乌克兰和俄罗斯在我们国家都可以，言论自由，但是中国和美国是宿敌，俄罗斯和中国是军事合作伙伴，我个人偏俄罗斯，我们未来还需要和俄罗斯加强合作\n想对支持乌克兰的人说几句：\n俄罗斯打仗后期并不拉胯，属于越战越勇\n俄罗斯打乌克兰，没有通知我们国家，这件事不是做的不光彩，如果走漏风声，就失去意义，当然美国情报还是挺准的\n俄罗斯是不是可以不打，避免局势升级，我只能说俄罗斯军人的血性男儿比较多，忍不了，只要能打赢，普京还是能提高支持率\n战争不是最好的选择，但是打赢了可以鼓舞人心，提高国际地位，类似我国的抗美援朝战争，一下子把美国打服了\n最后说一句：俄乌冲突和抗日战争不是一回事，没有可比性，你非要拿过来说事，只不过是找同情\n想对那些因为选择了不同立场就骂人全家的，素质差的就没有讨论的可能\n俄罗斯对比美国简直就是一张白纸，虽然俄罗斯也谋求霸权，大国之争，兵戎相见，流血牺牲不可避免\n其次，世界并不和平，我们一定要尊重保家卫国的人，不断提高军人待遇，你可以说我不会写文章，但是请不要攻击我曾经的身份，我不是俄军，也不是不讲理的人\n坚定彼此的立场，一起见证历史就好'],32
['虽然不喜欢俄罗斯，但还是支持俄罗斯。'],91
['俄乌战争照出网上一堆牛鬼蛇神，魑魅魍魉，逼的各大平台为此不得不迅速出台显IP措施来应对。\n俄罗斯与乌克兰的战争，全世界都知道俄罗斯是出于地缘安全而挑起的战争，北约东扩给俄罗斯造成的不安全感与苏联在古巴部署弹道导弹给美国带来的不安全感是相同的，美国有权利反抗，俄罗斯也有权利为反抗，乌克兰加入北约部署上北约的弹道导弹恐怕要比古巴的导弹更具有威胁。\n抛开屁股和脑袋，无论地球上哪个国家挑起战争都应该被唾弃，包括美国俄罗斯包括阿塞拜疆和以色列，普通人没有几个能从战争中获得利益，支持战争纯属脑子抽了。而世界政治中有刑不上大夫的传统（没能力），五常之一挑起战争，往往带来更为深重的灾难，犹如苏联和美国一前一后分别入侵阿富汗一般，没人阻止，没人能够阻止，阿富汗今天建立政权的居然是美国支持而后来认定为恐怖组织的塔利班。\n回到俄乌战争。从开战之初，俄罗斯以乌克兰攻击顿涅茨克和卢甘斯克两个地区为由，举兵越过边境线进入乌克兰，这被认为是俄罗斯针对北约东扩到家门口而做出的反击。而接下来的战争走向也证明了这不是俄罗斯与乌克兰的战争，而是俄罗斯与美国为首的北约的战争。战争开始后不久，美国拉上欧盟，从政治、经济、外交等等各个方面给予俄罗斯制裁，甚至包括俄罗斯的狗也在被制裁之列。除此之外，美国大量援助乌克兰军事装备，除了重型装备，几乎所有的单兵武器都在援助之列。与三十多年前苏联入侵阿富汗时美国私下里援助塔利班不同，美国这次毫不掩饰自己的援助行为，大摇大摆的将武器援助运进乌克兰。\n由此，原本因北约东扩而带来的俄乌战争回归了其本质，不再是俄罗斯VS乌克兰，而是俄罗斯VS美国（北约）。\n而俄罗斯也明确表示要终结美国的霸权主义。\n中苏在关系破裂后，美国出于自身利益考量，在1972年开始逐步实现与中国的关系正常化。而在颜色革命后期的1991年苏联轰然倒塌之后，美国迅速将中国的关系定位为首要威胁，由此拉开了美国持续对中国遏制的序幕。新中国四大耻辱性事件皆由美国而起:\n1，1993年银河号事件\n2，1996年台海危机\n3，1999年驻南联盟大使馆被炸事件\n4，2001年南海撞机事件\n而在这些历史进程中，中国人民对美帝的好感度越来越低。单边主义，双重标准，霸权主义这些词皆为美国标签。\n与中苏关系破裂的原因类似，中国对任何干涉、欺侮、威胁他国的霸权主义都没有好感。\n同样，对任何与霸权主义作斗争的国家，中国也一直也是支持的。\n屁股决定脑袋，国家支持什么，普通民众也自然要支持什么，毕竟我们人在中国，没有绿卡，而且圣母只是理想，丛林法则才是现实，国家有了出路，普通民众才更有前途。在这个俄罗斯举国家之力对抗美国霸权的魔幻时刻，我选择支持俄罗斯。如果未来美帝反抗俄罗斯霸权，我也可以选择支持美帝。\n霸权是人类公敌！'],119
['测试一下我能不能支持乌克兰'],36
['荣耀归于乌克兰捏\n—————————————————————\n四面楚歌的少数派：\n当该派系支持率过低时会极大地激怒该派系'],50
['我支持东乌克兰，反对西乌利沃夫独立。我支持乌克兰人民，更支持乌克兰人民杀死在乌克兰搞腐败的拜登的儿子，支持乌克兰人民收缴寡头的资产，支持乌克兰人民打击倒卖俄罗斯石油的科赫兄弟的产业。\n我支持俄罗斯把东乌东亚速纳粹的手下解放出来，支持打击那个国有化了马西达奇、加入谴责新疆宣言（后来又退出了）、允许亚速营培训港独的演员政府。我更支持俄罗斯像在叙利亚炸东突营那样炸亚速营，如果能够引渡那些培训过亚速纳粹，就更好了。支持俄罗斯人民推倒普京，引渡普京在法国有大别墅的女儿，抓捕绍伊古。\n希望俄罗斯人明白，他们不是为普京而战，是为了俄语区的人民二战，西乌纳粹可以打跑民选的总统，也可以烧死敖德萨的青年，更可以射击打水的老爷爷。他们可以退回到俄罗斯去，但西乌纳粹重来，比蒋介石的还乡团还要狠毒。\n也希望普京赶快中风，或者像尼古拉一世那样自杀，像斯特列科夫等人重整军队，重新战斗。\n希望那些在阿富汗放狗咬阿富汗人民，割喉阿富汗人民的澳大利亚纳粹作为雇佣兵去顿巴斯，希望那些所谓误炸中国大使馆的美军作为志愿者去顿巴斯，然后被炸死。\n慢慢来，一步一步来，打不下基辅那就先拿下顿巴斯，利沃夫也可以炸着，等普构死了，战时体制开起来，至少要打到第聂伯河去。如果那些吃一美元炸鸡的高华，或者给白皮端尿的护士去乌克兰被炸死，那就再好不过了。\n另外希望港独废青们反思反思，人家亚速营帮了你们这么多，是时候去乌克兰回馈他们的帮助了。用你们自由的躯体，去迎接俄罗斯专制的炮弹，像灵魂升华那样被轰成血雾，滋润自由的乌克兰的肥沃的土地，也让世界上其他人看到，你们不是一群只会拿着酒精往老爷爷身上泼，不是只敢打落单的游客，不是只敢往商户墙上喷漆，国安法一出来就鸟兽俱散的败类。你们愿意付出全家死光光的代价为自己的想法而奋斗。\n但不管怎么说，cnn bbc abc之类的造谣新疆的新闻少了许多，过去是白皮未经允许进去新疆工厂被保安拦住然后碰瓷，冬奥会期间是正宗的荷兰白皮（没有一点高华血统）在不被允许的地方拍摄然后配着连线女记者惊讶的打嘴巴来碰瓷，现在白皮追踪俄乌热点去了，派黄皮华人记者来北京核酸检测点碰瓷了，但明白中文的意思，经不住辟谣，推特页面不允许评论了，属实是不要脸还没学到家。\n俄国人怎么也要坚持到冬天到来吧，否则战争早早结束了，高华高留公知口中的“世界”，马上就要来教我们怎么做事了。\n纳粹港独合流\n鲍威尔的证据显示俄罗斯有大规模的立白洗衣粉'],1131
['俄罗斯'],25
['支持乌克兰，一如既往。\n不妨看看我三月一号的回答:\n很多小朋友有一种很幼稚的思维，这种思维就是西方一直以来抹黑的:\n这个地方所有人只能有一个想法。\n这正是“一小时二十二分”之流大行其道的原因。\n看见异议便担惊受怕，仿佛彼来害我一般。学识、逻辑、道义上无法反驳继而只能去想:他一定不是本地人，遂精神胜利。\n某入关大手子曰:“说你有台胞证你最好真的有。”\n可悲的是就连这群小朋友都觉得，只有外面的人有资格有异议。\n外人高人一等的思想钢印打在身上，却还喜欢指责别人不爱国，可谓一景。'],240
['本话题下的回答终结者\n我支持—国内支持者多数的那一方—俄罗斯\n而根据美国卡特中心3-4月做的民意调查\n\n\n\n\n当然仅限于道义上的支持，为俄罗斯提供帮助以外的一切帮助'],28
['乌克兰人民的伟大卫国战争必将胜利，俄罗斯法西斯侵略军必将失败，纳粹头目普丁丁的罪恶行径必将得到俄罗斯人民的清算！'],40
['还是那句话，真真正正的中国人都是以一个看戏的心态来对待俄乌冲突的，只有心怀鬼胎的人才会不断地跳脚带节奏，期望引导舆论往他有利的方向倾斜，显示了IP，突然间就发现知乎确实干净了很多，俄乌冲突的话题少了，这证明之前那些从提问到回答当中毫无疑问充斥着大量的网络汉奸，包括这个问题的提问者大概率也是个别有用心的人，说我给你们扣帽子也随你们，我只说我认为正确的。你们以为挂个代理，改个IP地址就又可以出来随意带节奏了，殊不知平台有能力显示你们的IP，国家就有能力惩治企图借题发挥扰乱国家的间谍网军，关键只在国家什么时候会这样做。\n非中国人我就不说了，你们有你们国家的任务，但是身体流着中国人的血的那些人，我正告你们，将来某一天你们一定会为自己的无耻行径付出沉重代价的，勿谓言之不预也！'],54
['啊，境外IP是少了\n但是都什么年代了，亲自上也过时了\n中国大陆有的是公知们美分神友殖人大象公会回形针方方.....\n所以\n\n0.5元一条，拉人入伙6元\n赚钱嘛，不寒碜\n屋千蟑原则\n所以这个问题下...'],32
['反北约，反美，支持俄罗斯，同情乌克兰，鄙视戏泽。\n完毕。\n说实话，职业网军，搞个vpn换个IP不是分分钟的吗。\n既然是认知战，那就奉陪到底吧。国家民族利益是识别敌我的唯一标准。'],57
['神奇，那我来支持俄罗斯，普总统加油。'],74
['我理想中的世界是达成共识的世界，是充满里理解和合作的世界。\n既不支持俄罗斯，也不支持乌克兰。\n我支持什么呢？\n比如俄乌问题上，我很支持北约和俄罗斯达成共识，瓜分乌克兰。\n你们想一想。俄罗斯拿到了乌克兰的土地，国家安全得到保障，北约的波兰得到乌克兰土地，波兰民族得到了复兴，北约也东扩了。乌克兰被瓜分，想进去北约的，去被北约瓜分的乌克兰，乌克兰的俄罗斯族，进入被俄罗斯瓜分的乌克兰，乌克兰被北约瓜分的部分得到了欧盟的经济援助，乌克兰被俄罗斯瓜分的部分得到了俄罗斯的安全保障。三方都是赢家，岂不美哉。\n所以建议俄孝子乌孝子北约孝子美孝子支持瓜分乌克兰，大家都赢麻了。\n\n\n\n\n狗头保命。另外强调一下，留岛不留蛙，台湾是中国的，台独是无耻的坐井观天的青蛙'],12
['支持乌克兰。\n支持让俄罗斯打破幻想，改变发展战略，重新审视中俄关系，安心当好和平的加油站，真正的成为我国战略伙伴。'],19
['该提问建立于4月30日，一天的时间浏览量103万，回答1646个，最高赞回答仅853个赞。大部分回答点赞数仅有几十。\n由此可见，参与到该回答的总人数有2000左右的体量。\n这就是目前网络上支持乌克兰的群众基础的一个缩影。\n果然，奇葩是极少数的。\n可能有人要问：为啥这个回答下支持俄罗斯的这么少？\n俄乌战争的热度早就过去了，没人看了。我回答的这个问题还是无意间刷到的。\n如果让知乎把这个回答推到热榜上，那么瞬间见分晓。'],20
['我不支持俄罗斯，也不支持乌克兰，不支持侵略战争，也不支持美国搞单边主义“围剿”我们。希望像你这样的网友们明白，对一件事或者一个物体的想法和意见都可以不只是非黑即白的，甚至可以是多维度的。这个跟I不IP没什么联系。'],26
['人在台北，刚下飞机，拿到了登子的50万，又拿了1450的经费。\n伪装成大陆网民，强答一波:\n\n反对俄罗斯侵略!\n支持乌克兰人民的正义事业!'],75
['谁没有反华，谁能够一起对抗美欧，谁没有在香港搅风搅雨，我支持谁，哪怕两国曾有过龌龊，还是最早那句话，主要矛盾和次要矛盾，分清当前谁是敌谁是友，是谁一直试图分裂新疆、西藏，向台湾出售武器，是谁炮制新疆人权，谁在污蔑中国制造病毒。\n所以，哪怕俄罗斯没有达成战略目标，我依旧支持俄罗斯，至于俄罗斯战败，是指莫斯科被乌克兰攻陷吗？你信吗？\n不用显示ip，我在北京。'],338
